group,gender and age,count
Your Fans,Male, 25-34,102
Your Fans,Male, 35-44,92
Your Fans,Female, 35-44,90
Your Fans,Female, 45-54,63
Your Fans,Male, 45-54,57
Your Fans,Female, 25-34,42
Your Fans,Undisclosed, 35-44,35
Your Fans,Undisclosed, 25-34,35
Your Fans,Undisclosed, 45-54,25
Your Fans,Male, 55-64,22
Your Fans,Female, 55-64,19
Your Fans,Undisclosed, 18-24,7
Your Fans,Undisclosed, 55-64,6
Your Fans,Male, 65+,5
Your Fans,Male, 18-24,4
Your Fans,Female, 18-24,3
Your Fans,Female, 65+,2
Your Fans,Undisclosed, 13-17,1
Your Fans,Undisclosed, 65+,1
Your Fans,Female, 13-17,1